STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-04 00:00:00,7.61,0,0,0,72,87,62,340,20,13,18.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-05 00:00:00,5.82,0,0,0,75,88,62,350,10,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-06 00:00:00,5.37,0,0,0,68,84,58,340,330,13,16.1,1,1,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-07 00:00:00,7.38,0,0,0,67,76,58,220,230,13,19.9,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-08 00:00:00,7.16,0,0,0,65,69,60,210,210,13,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-09 00:00:00,5.82,0,0,0,66,76,61,300,290,13,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-10 00:00:00,4.92,0.38,0,0,66,74,60,30,250,13,15,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-11 00:00:00,8.72,0,0,0,66,75,60,190,190,15,25.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-12 00:00:00,4.92,0,0,0,67,79,59,200,270,12.1,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-13 00:00:00,4.92,0,0,0,71,85,61,280,290,12.1,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-14 00:00:00,5.14,0,0,0,73,84,62,30,290,13,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-15 00:00:00,6.04,0,0,0,69,78,60,200,220,12.1,19.9,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-16 00:00:00,7.38,0,0,0,66,69,60,210,210,15,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-17 00:00:00,5.59,0,0,0,65,75,60,200,180,10.1,15,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-18 00:00:00,4.47,0,0,0,66,76,59,230,230,10.1,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-19 00:00:00,6.49,0,0,0,67,76,60,200,290,12.1,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-20 00:00:00,6.04,0,0,0,67,82,56,230,250,18.1,23,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-21 00:00:00,6.04,0.3,0,0,66,70,59,30,20,15,17,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-22 00:00:00,4.47,0.08,0,0,61,71,56,270,230,8.9,14.1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-23 00:00:00,5.82,0,0,0,64,73,55,340,340,16.1,23,1,,,1
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-24 00:00:00,7.83,0,0,0,65,76,59,20,30,17,19.9,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-25 00:00:00,7.16,0,0,0,67,74,60,50,160,13,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-26 00:00:00,11.41,0,0,0,67,79,57,350,10,21,25.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-27 00:00:00,11.63,0,0,0,70,85,60,10,20,17,23,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-28 00:00:00,7.16,0,0,0,75,89,66,10,20,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-29 00:00:00,8.5,0.07,0,0,71,78,59,230,230,16.1,19.9,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-30 00:00:00,5.82,0,0,0,67,77,63,130,80,14.1,16.1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-08-31 00:00:00,4.92,0,0,0,69,78,60,210,210,14.1,17,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-09-01 00:00:00,5.82,0,0,0,70,79,63,190,210,14.1,19,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2019-09-02 00:00:00,6.93,0,0,0,69,79,60,350,330,14.1,19.9,,,,
